window,cutoff_week,n_train,n_test,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,86,55899,4535,LightGBM,7,leaves=31,0.859135413982059,0.12438974982634354,0.3089305402425579,0.6998897464167585,1.3514884233737596
cumulative,86,55899,4535,Dummy,123,const,0.375303197353914,0.375303197353914,0.750606394707828,1.87651598676957,3.75303197353914
cumulative,86,55899,4535,Logistic Regression,123,C=0.1,0.7966419417607835,0.1493425072154442,0.42359426681367146,1.0011025358324146,1.9636163175303198
cumulative,86,55899,4535,Random Forest,123,depth=10,0.8267936232906322,0.1536052305495441,0.5706725468577729,1.424696802646086,2.8480705622932745
cumulative,86,55899,4535,XGBoost,123,depth=9,0.8492831142904291,0.1308436244726181,0.3173098125689085,0.7188533627342889,1.388092613009923
cumulative,86,55899,4535,LightGBM,123,leaves=31,0.859135413982059,0.12438974982634354,0.3089305402425579,0.6998897464167585,1.3514884233737596
cumulative,87,57114,4610,Dummy,42,const,0.3657266811279826,0.3657266811279826,0.7314533622559652,1.8286334056399132,3.6572668112798263
cumulative,87,57114,4610,Logistic Regression,42,C=0.1,0.8129232628269246,0.1400846843591448,0.4071583514099783,0.9700650759219089,1.90824295010846
cumulative,87,57114,4610,Random Forest,42,depth=20,0.8472768112901986,0.13477574254891025,0.4913232104121475,1.2221258134490238,2.440130151843818
cumulative,87,57114,4610,XGBoost,42,depth=6,0.8584812321553172,0.1212019994854927,0.3143167028199566,0.7177874186550977,1.390238611713666
cumulative,87,57114,4610,LightGBM,42,leaves=31,0.8639825456518059,0.1190737531086436,0.3036876355748373,0.6817787418655098,1.3119305856832972
cumulative,87,57114,4610,Dummy,7,const,0.3657266811279826,0.3657266811279826,0.7314533622559652,1.8286334056399132,3.6572668112798263
cumulative,87,57114,4610,Logistic Regression,7,C=0.1,0.8129232628269246,0.1400846843591448,0.4071583514099783,0.9700650759219089,1.90824295010846
cumulative,87,57114,4610,Random Forest,7,depth=20,0.8476346393730276,0.1355397943021583,0.4822125813449024,1.1967462039045553,2.38763557483731
