window,cutoff_week,n_train,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,34,5676,Logistic Regression,7,C=10.0,0.5415213605439019,0.31042725960830975,0.7278983459090127,1.7881878732764764,3.555337085555583
cumulative,34,5676,Random Forest,7,depth=10,0.5985199833795624,0.23323927017730536,0.7735640376533045,1.9325091552584364,3.8640843512669893
cumulative,34,5676,XGBoost,7,depth=6,0.5837897108608776,0.31486719846725464,0.7232285496595964,1.7888268980263966,3.564824145304397
cumulative,34,5676,LightGBM,7,leaves=63,0.549988301221087,0.3076750163916713,0.6957750632880281,1.7135202890358099,3.4097623319487798
cumulative,34,5676,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,34,5676,Logistic Regression,123,C=10.0,0.5415213605439019,0.31042725960830975,0.7278983459090127,1.7881878732764764,3.555337085555583
cumulative,34,5676,Random Forest,123,depth=10,0.6431092208961937,0.22440893540962956,0.7685255732789343,1.9195811930100524,3.838007225895249
cumulative,34,5676,XGBoost,123,depth=6,0.5837897108608776,0.31486719846725464,0.7232285496595964,1.7888268980263966,3.564824145304397
cumulative,34,5676,LightGBM,123,leaves=63,0.549988301221087,0.3076750163916713,0.6957750632880281,1.7135202890358099,3.4097623319487798
cumulative,35,6449,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,35,6449,Logistic Regression,42,C=0.1,0.6152889140912765,0.2884477127437649,0.7284390591589451,1.8096689360237914,3.6117187307985352
cumulative,35,6449,Random Forest,42,depth=10,0.6222474448667419,0.23359434847519647,0.7737115049032861,1.9331727578833533,3.865608179516799
cumulative,35,6449,XGBoost,42,depth=9,0.5899849043491459,0.3079043924808502,0.6873940079140758,1.6955538624130557,3.3758202865780222
cumulative,35,6449,LightGBM,42,leaves=31,0.5618763712574223,0.29188578859614067,0.690687443163664,1.701206773662349,3.385405657826824
cumulative,35,6449,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,35,6449,Logistic Regression,7,C=0.1,0.6152889140912765,0.2884477127437649,0.7284390591589451,1.8096689360237914,3.6117187307985352
cumulative,35,6449,Random Forest,7,depth=10,0.6197494932550034,0.22852925931374027,0.7736131934032984,1.932926979133384,3.8651166220168602
cumulative,35,6449,XGBoost,7,depth=9,0.5899849043491459,0.3079043924808502,0.6873940079140758,1.6955538624130557,3.3758202865780222
cumulative,35,6449,LightGBM,7,leaves=31,0.5618763712574223,0.29188578859614067,0.690687443163664,1.701206773662349,3.385405657826824
cumulative,35,6449,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,35,6449,Logistic Regression,123,C=0.1,0.6152889140912765,0.2884477127437649,0.7284390591589451,1.8096689360237914,3.6117187307985352
cumulative,35,6449,Random Forest,123,depth=20,0.5949259714346717,0.24235380142237176,0.7701231351537347,1.9222110256347236,3.8423575097697054
cumulative,35,6449,XGBoost,123,depth=9,0.5899849043491459,0.3079043924808502,0.6873940079140758,1.6955538624130557,3.3758202865780222
cumulative,35,6449,LightGBM,123,leaves=31,0.5618763712574223,0.29188578859614067,0.690687443163664,1.701206773662349,3.385405657826824
cumulative,36,7480,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,36,7480,Logistic Regression,42,C=0.1,0.649245433976654,0.2752743633740197,0.6927765625384029,1.7208444957848945,3.4342910511957134
cumulative,36,7480,Random Forest,42,depth=10,0.6535390107576058,0.23099804125645299,0.7653550274043306,1.9128714331358911,3.8253987760218253
cumulative,36,7480,XGBoost,42,depth=6,0.6033636633963719,0.29103222489356995,0.6716887457910389,1.6588345171676457,3.30407746946199
cumulative,36,7480,LightGBM,42,leaves=15,0.6042892607278394,0.28217249659089577,0.6742202669157225,1.6666011256666748,3.3205692235849287
cumulative,36,7480,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,36,7480,Logistic Regression,7,C=0.1,0.649245433976654,0.2752743633740197,0.6927765625384029,1.7208444957848945,3.4342910511957134
cumulative,36,7480,Random Forest,7,depth=None,0.6160714098908512,0.24660516558544412,0.7600216285299973,1.8970678595128665,3.7921449111509817
cumulative,36,7480,XGBoost,7,depth=6,0.6033636633963719,0.29103222489356995,0.6716887457910389,1.6588345171676457,3.30407746946199
cumulative,36,7480,LightGBM,7,leaves=15,0.6042892607278394,0.28217249659089577,0.6742202669157225,1.6666011256666748,3.3205692235849287
cumulative,36,7480,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,36,7480,Logistic Regression,123,C=0.1,0.649245433976654,0.2752743633740197,0.6927765625384029,1.7208444957848945,3.4342910511957134
cumulative,36,7480,Random Forest,123,depth=20,0.6359742801899071,0.23273138565855075,0.7575638410303045,1.8907021898886622,3.7792661046525917
cumulative,36,7480,XGBoost,123,depth=6,0.6033636633963719,0.29103222489356995,0.6716887457910389,1.6588345171676457,3.30407746946199
cumulative,36,7480,LightGBM,123,leaves=15,0.6042892607278394,0.28217249659089577,0.6742202669157225,1.6666011256666748,3.3205692235849287
