window,cutoff_week,n_train,model,pr_auc,pr_auc_sd,brier,ci_low,ci_high
sliding,38,9983,Random Forest,0.6227562354163291,0.005342283067126276,0.24217924912560115,,
sliding,38,9983,XGBoost,0.6252751564365114,0.0,0.2840527296066284,,
sliding,39,11287,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,39,11287,LightGBM,0.600109295179521,0.0,0.28808978148761694,0.5921598452835101,0.6085215710675828
sliding,39,11287,Logistic Regression,0.5870330602328304,0.0,0.2632969727153208,0.5796029118434741,0.5958415013725828
sliding,39,11287,Random Forest,0.6219701548387202,0.008929148482923446,0.24460544473784085,,
sliding,39,11287,XGBoost,0.6491700398069713,0.0,0.2792011499404907,,
sliding,40,12315,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,40,12315,LightGBM,0.617255251213191,0.0,0.2777779828696893,0.6085364545303122,0.6256766312349367
sliding,40,12315,Logistic Regression,0.5965676289646882,0.0,0.26220910875123454,0.5891874955530583,0.6052667620238135
sliding,40,12315,Random Forest,0.6304720192280335,0.009010489761435116,0.24108803551640778,,
sliding,40,12315,XGBoost,0.6513681018041644,0.0,0.269741415977478,,
sliding,41,13716,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,41,13716,LightGBM,0.6423022372906104,0.0,0.2667443903200575,0.6344090660722569,0.6501330395776086
sliding,41,13716,Logistic Regression,0.6391845286402075,0.0,0.2548110902368093,0.6304241658951092,0.6476652255577835
sliding,41,13716,Random Forest,0.6303087857134888,0.01717610220396426,0.23981886321892953,,
sliding,41,13716,XGBoost,0.6432126118908041,0.0,0.2633066773414612,,
sliding,42,14938,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,42,14938,LightGBM,0.656803423283127,0.0,0.2617799021073765,0.6490142858505901,0.6648968926871239
sliding,42,14938,Logistic Regression,0.66564464220303,0.0,0.23884957875016297,0.6578373628012084,0.6733637923876926
sliding,42,14938,Random Forest,0.6382179079318435,0.01589821761786459,0.2388359230231347,,
sliding,42,14938,XGBoost,0.6895910989174266,0.0,0.2488711029291153,,
sliding,43,15870,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,43,15870,LightGBM,0.6479186406236861,0.0,0.2630795913489024,0.63944890323432,0.6557447779359574
sliding,43,15870,Logistic Regression,0.7005081311830478,0.0,0.23165031901936547,0.6927711840357453,0.7085901454974917
sliding,43,15870,Random Forest,0.646156616388102,0.01710413331638179,0.23828441913648457,,
sliding,43,15870,XGBoost,0.6692857436186994,0.0,0.2579054534435272,,
sliding,44,16736,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,44,16736,LightGBM,0.642889819231331,0.0,0.2706508713906383,0.6344312733760302,0.6509799731729982
sliding,44,16736,Logistic Regression,0.7033234882683557,0.0,0.23998829506946381,0.6958861922496667,0.7112347241084589
sliding,44,16736,Random Forest,0.6651900016790123,0.02317944409817203,0.2355048722367291,,
sliding,44,16736,XGBoost,0.6697365807902306,0.0,0.2700870931148529,,
sliding,45,17281,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,45,17281,LightGBM,0.6436182153221336,0.0,0.2845326870149902,0.6353381105011707,0.6515657517612218
sliding,45,17281,Logistic Regression,0.7018666428063055,0.0,0.24212576223380874,0.6944162378142945,0.7092651268833147
sliding,45,17281,Random Forest,0.6561653290701283,0.007724839824859196,0.2365769107823059,,
sliding,45,17281,XGBoost,0.6391454835208248,0.0,0.28748926520347595,,
sliding,46,17702,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,46,17702,LightGBM,0.6489188521257189,0.0,0.2691001975736002,0.6417331134541607,0.6567076735208588
sliding,46,17702,Logistic Regression,0.6990389771361448,0.0,0.24453404060905423,0.6911873209212307,0.706743910844327
sliding,46,17702,Random Forest,0.6493615677348871,0.006475555740579253,0.2417657241764893,,
sliding,46,17702,XGBoost,0.676079186250658,0.0,0.2642228603363037,,
sliding,47,18386,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,47,18386,LightGBM,0.6474131185757026,0.0,0.27471466871817046,0.6390734084648518,0.6555225503642529
sliding,47,18386,Logistic Regression,0.6996311066879063,0.0,0.2407862589860189,0.6917203359927955,0.7071125634174908
sliding,47,18386,Random Forest,0.6658914824114835,0.01925633643833925,0.23650267203925013,,
sliding,47,18386,XGBoost,0.6737641981449544,0.0,0.2659241855144501,,
sliding,48,19000,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,48,19000,LightGBM,0.6557949842529963,0.0,0.2634536229557499,0.6478916798716703,0.6626660570545796
sliding,48,19000,Logistic Regression,0.7016672266206281,0.0,0.23936111865474344,0.693705456294801,0.7091430496744185
sliding,48,19000,Random Forest,0.6545919686982961,0.02691706517205902,0.23838863680543512,,
sliding,48,19000,XGBoost,0.6422331465130596,0.0,0.28244972229003906,,
sliding,49,19845,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,49,19845,LightGBM,0.6402357342364429,0.0,0.27845548422112637,0.6325440235069757,0.6481688807784758
sliding,49,19845,Logistic Regression,0.7057710127501293,0.0,0.24221407990219582,0.6981045469248426,0.7138537223535777
sliding,49,19845,Random Forest,0.6497684774073248,0.0017944604473005797,0.24188334849957147,,
sliding,49,19845,XGBoost,0.6249716620129419,0.0,0.3077436089515686,,
sliding,50,20452,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
